MRK_2019.pdf,MRK_2018.pdf,MRK_2020.pdf,MRK_2021.pdf
"Since 2015, our sites have completed more than 70 projects through the Capital Fund.",,,
"This has saved over $6 million per year, averaging a payback of only three years and avoiding the production of 23,000 metric tons of carbon per year.",,,
"In 2019, we allocated approximately $6.4 million to energy projects.",,,
"The completed projects will result in $2 million in annual savings and a reduction of more than 12,000 metric tons of carbon dioxide from our facilities.",,,
"For 2020, we have over 60 projects in progress that, when completed, will reduce carbon dioxide emissions from our facilities by over 36,000 metric tons.",,,
"For more information, please see the Climate Change & Energy Use page on MSDresponsibility.com, as well as our response to the CDP Climate Change questionnaire.",,,
"GRI 201-3 Benefit plan coverage Worldwide, our company offers retirement benefits that are competitive with those of our peers and the general industry in each market we serve.",,,
"In the U.S., for example, we offer a defined benefit pension plan as well as a 401(k) plan with company matching contributions.",,,
"To assist in financial decision making, we offer all U.S. employees comprehensive financial education and guidance through Ernst & Young at no cost.",,,
"U.S.-based employees who are at least age 55, and those who have at least 10 years of service after age 401, are eligible for subsidized medical benefits at retirement.",,,
"Outside the U.S., we have more than 80 pension plans (including defined benefit, cash balance, and defined contribution plans) in over 40 countries.",,,
These plans often supplement government-sponsored social security pension benefits to improve employees’ financial security through added retirement income.,,,
"While benefits may vary by region and country, we offer health, life and injury, disability and business travel insurance, along with retirement income benefits.",,,
"In addition, in many countries, where legally permitted, including the U.S., we extend health care and various insurance benefits to employees’ domestic partners and their partners’ eligible dependent children.",,,
"For more information, please visit the Compensation & Benefits page on our website, or our 2019 Form 10-K (pages 108–114).",,,
"1 For certain employees, service before 40 also counts.Indirect Economic Impacts (CR material topic: Responsible pricing) Management approach We are working to bring our medicines and vaccines to more people around the world in ways that are as accessible and affordable as possible for the patients who need them.",,,
"While each individual situation varies based on factual circumstances and market dynamics, generally, we consider: • Value provided to patients • Value provided to health care systems • Unmet need • Access • R&D sustainability • Competition As part of our commitment to transparency, in 2017 we started disclosing information on our Corporate Responsibility website about the price of medicines across our portfolio in the U.S. through our U.S. Pricing Transparency Report .",,,
"For more information, please see the Affordability page on MSDresponsibility.com.",,,
GRI 203-1 Infrastructure investments and services supported SDG 3 Good health and wellbeing We support capacity building for health systems and care delivery where our support can make a meaningful difference.,,,
"We provide this support in several ways, including through philanthropic social investments, key initiatives, and impact investing.25 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social IndicesPhilanthropic social investments Our social investments through philanthropy address underlying barriers to access to health and help advance health equity around the world.",,,
"Our approach to these investments is guided by several key principles: addressing critical global health needs where we can have a meaningful impact; promoting health equity by addressing health disparities in vulnerable, underserved communities; collaborating with diverse partners to build healthier, stronger communities; and leveraging our range of resources (financial, product, and expertise) to achieve greater impact on population health outcomes.",,,
"In addition to our targeted philanthropy, we have made substantial contributions to strengthening health systems through long-standing key initiatives that address significant gaps and barriers to health care access.",,,
Two prominent examples are MSD for Mothers and the MECTIZAN® Donation Program.,,,
Key initiatives MSD for Mothers is our company’s $500 million global initiative focused on strengthening health systems to sustain the delivery of high-quality maternity care services that benefit women and their communities.,,,
"With our partners, we are improving health systems for women today and for the long term by advancing quality standards, helping make life-saving products available and generating evidence.",,,
The MECTIZAN Donation Program is the longest- running disease-specific drug donation program and public-private partnership of its kind and is widely regarded as one of the most successful public-private health collaborations in the world.,,,
"In addition to providing direct access for communities in need of treatment, the program has made significant impacts on health systems in some of the hardest to reach communities.",,,
The development of CDTI (community- directed treatment with ivermectin) programs has trained community volunteers to distribute medicines and the system now is also used to distribute other health interventions.,,,
Impact investing Impact investing is one of our core approaches to strengthening health systems.,,,
"Through impact investing, we are able to deploy financial resources in ways that may generate not only improved access to health care for underserved populations, but also financial returns and commercial opportunities — all while growing a sustainable global health ecosystem and attracting additional capital and partners.",,,
"Addressing barriers to health 2015 2016 2017 2018 2019 Health care workers trained through major programs and partnerships (estimate)119,000 32,000 74,000 67,000 68,000 Annual investment in partnerships, programs and impact investments that support health care capacity-building and address underlying barriers to access to health (in millions)1$21 $28 $40 $37 $63 People reached through investment in partnerships, programs and impact investment that support health care capacity-building and address underlying barriers to access to health1 (estimate in millions)188 293 311 357 422 Percentage of investment in partnerships and programs to strengthen health care capacity and address barriers to access, that is allocated to impact evaluation2NR NR NR NR 10% Investment in patient- and provider-education programs (in millions)$80 $80 $90 $115 $102 NR: Not reported 1 Represents investments by our Office of Social Business Innovation, including our Office of Corporate Responsibility, MSD for Mothers and our company’s Foundation.",,,
"2 Percentage calculated based on total investments in partnerships and programs to strengthen health care capacity and address barriers to access supported through our company’s Foundation.For more information, please visit the Social Investments , MSD for Mothers , Addressing Barriers to Health , and MECTIZAN Donation Program pages on MSDresponsibility.com.26 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social IndicesGRI 203-2 I ndirect economic impacts SASB 240a.1 A ccess to health care for priority diseases and in priority countries SASB 240a.2 P roducts on WHO’s List of Prequalified Medicinal Products SDG 3 G ood health and wellbeing While the primary responsibility for managing a health system that ensures the health of its citizens resides with government, pharmaceutical companies have a substantial role to play in working with governments to ensure the health of their citizens.",,,
"As we pursue our core mission of inventing, developing and delivering medicines and vaccines, we have an ethical duty to support governments in their efforts to protect the right to health by “doing no harm.” We do this in several ways, including: • M onitoring and reporting on the safety of our products • P roviding health care workers and consumers with important information on the benefits and side effects of our products • S afeguarding the health, safety and privacy of patients involved in our clinical trialsIn addition, we are helping to improve access to new medicines and vaccines, address deep-rooted and multifaceted barriers to access, and, through partnerships and public policy, advocate for health care capacity strengthening in ways that are aligned with our business mission and core capabilities.",,,
Our enterprise-wide approach to access is guided by our Access to Health Guiding Principles and is responsive to internationally recognized standards and priorities.,,,
"Recognizing the significant access barriers that exist within sub-Saharan African countries in particular, we are also committed to a specific set of principles to guide our strategy in the region.",,,
Strategies and actions to enable access are embedded across our company.,,,
"Our Access to Health Guiding Principles span the areas of research and development, manufacturing, marketing and commercialization, and philanthropic investments.",,,
"In low- and middle-income countries, in particular, we recognize access to and funding for health care can be limited.",,,
"While major public health programs in these countries that focus on health priorities such as HIV/ AIDS, malaria, tuberculosis and routine immunization are heavily subsidized by the government through international organizations and private funding, health insurance programs often do not exist or are limited.",,,
"As a result, patients in these countries frequently must pay the price of medicines out of pocket, a particularly daunting ask for families living near or below the poverty line.",,,
"Therefore, we develop and support various sustainable strategies to improve access in low- and middle-income countries, including directing differential pricing to patient sub-segments, either directly through national or local programs or indirectly through third-party health care funding sources that demonstrate reasonable and secure product distribution to intended patient segments and subject to applicable legal requirements.27 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social IndicesAffordability 2019 Number of countries where dedicated affordability solutions have been initiated* 40 People reached globally through product donation and patient assistance programs and partnerships1 (estimate)*404M Number of patents filed in low-income countries, as defined by The World Bank in its country and lending groups classifications (annual)* 0 * New key performance indicators (KPI) reported in 2019 to support refreshed Access to Health Guiding Principles.",,,
1 Estimate includes product donations through our company’s Office of Corporate Responsibility and patient assistance programs.,,,
"Grants and contributions 2015 2016 2017 2018 2019 Grants and contributions (total cash, in-kind and product) $1.8B $2.2B $2.7B $2.8B $3.1B Cash grants and contributions $133M $117M $94M $84M $82M Product donations through U.S.",,,
"Patient Assistance Programs$567M $798M $1.1B $1.2B $1.5B Product donations for ex-U.S. programs and U.S. disaster relief1$1.1B $1.3B $1.5B $1.4B $1.5B 1 Includes our Medical Outreach Program (including U.S. disaster relief), the African Comprehensive HIV/AIDS Partnerships (2015-2016 only), the MECTIZAN® Donation Program, and MSD division and subsidiary donations.",,,
"2 Includes valuation of volunteer time for only those employees who participated in the MSD Fellowship for Global Health program and our company’s Pro Bono Legal and other skills-based volunteer programs.28 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social IndicesIMPLANON NXT in FP2020 Markets1, 22019 Demographic impacts Unintended pregnancies averted 6M Live births averted 3M Abortions averted 2.2M Health impacts Maternal deaths averted 14,000 Child deaths averted 111,000 Unsafe abortions averted 1.7M 1 The figures above are estimates, based on the full-service lifespan (2.7 years) impacts.",,,
"These estimates are based on 2019 supplies (5,053,090 units), using the Impact 2 v5 tool (2016) provided by Marie Stopes International (MSI).",,,
"2 Family-planning products intended for underserved segments of the world’s poorest countries — Family Planning 2020 countriesWomen’s health products IMPLANON NXT® EXLUTON® MARVELON 28® Product is WHO prequalified Yes Yes Yes FP2020 countries where product is registered1, 243 26 23 FP2020 countries in which we supplied product132 6 6 Women reached in FP2020 countries1, 35,246,000 4,921,000 1,816,000 1 Family-planning products intended for underserved segments of the world’s poorest countries — Family Planning 2020 countries 2 There are additional unregulated markets where our products may be available that are not represented by these numbers.",,,
3 Number represents potential number of women who could be reached based on number of products provided.Women’s health We are committed to making our contraceptive products available to women around the world.,,,
"We take a comprehensive approach to access that includes high- quality manufacturing and supply chain management, extensive registration and WHO prequalification for a variety of our family-planning products, responsible commercialization that promotes training and capacity- building, policy advocacy and community investment.",,,
"In developing countries that have high rates of maternal mortality and low rates of contraceptive prevalence, we have created a sustainable public-private partnership model, with first-quality products made available at access pricing to promote access to contraceptive health programs.",,,
These activities are focused primarily on sub-Saharan Africa and countries in Asia and Latin America with high unmet need.,,,
The following metrics are for our family-planning products intended for underserved segments of the world’s poorest countries (defined as Family Planning 2020 [FP2020] countries ) that are supplied through the public sector and social-marketing organizations.,,,
"For World Bank country classifications, please visit the World Bank website .",,,
"Though the numbers of product supplied are substantial, the impact of these supplies are even more significant.",,,
"As an example, the potential impact of the volumes of IMPLANON NXT supplied to FP2020 countries in 2019 are reflected by the following table (data reflects estimates, based on the MSI Impact 2 v5 tool).29 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social IndicesProduct International Nonproprietary Name (INN) Date of prequalification Family planning MARVELON 28® Ethinylestradiol + Desogestrel October 2010 EXLUTON® Lynestrenol June 2010 IMPLANON NXT® Etonogestrel May 2013 Vaccines MMR-II® Measles, Mumps, Rubella Virus Vaccine Live December 2008 ROTATEQ® Rotavirus Vaccine, Live, Oral, Pentavalent October 2008 GARDASIL ® Human Papillomavirus Quadrivalent (Types 6, 11, 16, 18) Vaccine, Recombinant (including a VVM) May 2009 GARDASIL ® Human Papillomavirus Quadrivalent (Types 6, 11, 16, 18) Vaccine, Recombinant (two-dose regimen to support its programmatic feasibility in developing countries) October 2014 GARDASIL ® Human Papillomavirus Quadrivalent (Types 6, 11, 16, 18) Vaccine, Recombinant (compatibility for use in a controlled temperature chain to facilitate its administration in high-temperature, low- cold-chain infrastructure areas of developing countries) May 2016 GARDASIL ®9 Human Papillomavirus Quadrivalent (Types 6, 11, 16, 18) Vaccine, Recombinant (including a two-dose-regimen variation) February 2018 VARIVAX® Varicella Virus Vaccine Live (first varicella vaccine to receive WHO prequalification) February 2018 ERVEBO® Ebola Zaire Vaccine, Live November 2019 HIV/AIDS treatments STOCRIN® Efavirenz (600mg tablet, Oral Solution 30mg) Efavirenz (50mg tablet, 200mg tablet)May 2006 May 2008Product registration In addition to having our medicines and vaccines approved by stringent regulatory authorities, when relevant to enhancing access in low- and middle-income countries, we also work to have certain medicines and vaccines prequalified through the World Health Organization (WHO) prequalification process.",,,
WHO prequalification can facilitate product procurement by international procurement agencies.,,,
"WHO’s prequalification program covers medicines for HIV, tuberculosis (TB), malaria, neglected tropical diseases, influenza, reproductive health and diarrhea, in addition to vaccines.",,,
"In the absence of reliable national medicine authorities that can certify health care products meet required quality, safety and efficacy standards, stringent regulatory authority and WHO prequalification can serve as a basis for quality assurance for procurement by international agencies and national programs in lower-income countries.",,,
We have made efforts to address the unique needs of low-income countries where the infrastructure and personnel to deliver immunization services can be severely limited.,,,
A specific emphasis has been on making improvements to products in a way that make them compatible to the Programmatic Suitability Criteria for vaccines candidates for WHO Prequalification (PSPQ).,,,
"These features include vaccine vial monitors (VVMs), the acceptability of a two-dose regimen for HPV vaccines and use in controlled- temperature-chain conditions.",,,
"In order to make our products available to the people who need them throughout the world, we registered 97 products and devices in 2019.",,,
"The majority of these products were registered in low- and middle-income countries in the Asia-Pacific, Central and Eastern Europe, Middle East and Africa, and Americas regions.",,,
"In November 2019, ERVEBO, our Live Ebola Zaire Vaccine, was prequalified by the WHO.",,,
"ERVEBO’s prequalification was the fastest vaccine prequalification process ever conducted by WHO and a critical step in providing access to our vaccine to individuals in countries most at risk of Ebola outbreaks.Below is a list of products that have been prequalified by WHO as of April 15, 2020.30 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social IndicesMedicine Assistance Tool As a demonstration of our commitment to helping low-income, uninsured patients gain access to our medicines and adult vaccines, we also participate in PhRMA’s Medicine Assistance Tool (MAT) , formerly known as the Partnership for Prescription Assistance (PPA).",,,
"MAT is a search engine designed to help patients, caregivers and health care providers learn more about access resources available through the various biopharmaceutical industry programs.",,,
"MAT helps eligible patients get free or nearly free brand name medicines through a single website that provides information for and access to more than 500 public and private patient assistance programs, including approximately 200 programs offered by biopharmaceutical companies.",,,
"To date, this tool has helped millions of Americans get free or reduced-cost prescription medicines.",,,
"For more information, please visit our Women’s Health , Product Registration , U.S.",,,
"Patient Assistance Programs , Vaccines , HIV/AIDS and Product Pricing pages on MSDresponsibility.com.Patient assistance programs summary 2015 2016 2017 2018 2019 Patients utilizing our U.S.",,,
"Patient Assistance Programs1293,000 306,000 244,000 233,000 239,000 30-day prescriptions filled 1.6M 1.7M 2.1M 2.1M 2.2M 1 Totals represent 2015–2019 volumes of our U.S.",,,
Patient Assistance Program.,,,
"GRI 205: Anticorruption (CR material topic: Ethics and compliance) Management approach As part of our long-standing commitment to ethics and good corporate citizenship, we adopt policies and procedures that facilitate compliance with the laws and regulations that govern the way we market and sell our medicines, vaccines and other products.Product registration 2015 2016 2017 2018 2019 New product and device registrations (annual) 1,2,3156 143 143 124 97 Products submitted that have achieved WHO prequalification (cumulative) 411 11 13 13 13 Number of patent applications filed in low-income countries5NR NR NR NR 0 NR: Not reported 1 Data include new products and new indications.",,,
"2 For information on new registrations by region, visit our Clinical Research section.",,,
3 Data for all years have been updated based on a tracking system upgrade that corrected miscounts in prior years.,,,
4 CRIXIVAN® (indinavir sulfate) was removed from our product list in 2019 and is no longer included in the total number of products that have achieved WHO.,,,
5 Countries classified as low-income countries in the 2019 World Bank Country and Lending Group classifications.,,,
"We have a well-established global ethics and compliance program that is consistent with the International Federation of Pharmaceutical Manufacturers & Associations (IFPMA) Code of Practice requirements, as well as with other applicable regional or country industry codes of conduct, including those issued by the Pharmaceutical Research and Manufacturers of America (PhRMA) and the European Federation of Pharmaceutical Industries and Associations (EFPIA) .31 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social IndicesOur company’s Board of Directors and senior management, including the Chief Ethics and Compliance Officer and members of the Corporate Compliance Committee , provide the foundational elements of leadership, accountability and structure to oversee the company’s global ethics and compliance program.",,,
The Chief Ethics and Compliance Officer reports directly to our company’s CEO and provides regular updates to the Audit Committee of the Board of Directors on key indicators of ethical culture.,,,
This reporting structure supports open communications with senior leadership regarding important developments that relate to ethics and compliance.,,,
"Our company’s robust anti-bribery/anticorruption program and corporate prevention of bribery and corruption policy give our employees the awareness and knowledge to comply with applicable laws and regulations, and to understand that the company will not tolerate any act of impropriety.",,,
"Our activities must comply with company policies as well as applicable laws, including the laws of the U.S. and other countries in which we do business.",,,
"Our program prohibits the offer, promise or giving of any payment or benefit at any time to an individual or entity for the purpose of improperly influencing decisions or actions with respect to our business.",,,
"This policy applies to direct engagements (e.g., those conducted by our company) as well as to indirect engagements (e.g., those managed through a third- party intermediary or partner).",,,
We conduct anti-bribery/anticorruption training across the company.,,,
"Supplemental training is also provided for employees who engage with non-U.S. government officials.Office of Ethics Our company’s Office of Ethics was established over 20 years ago to protect and promote the company’s values and standards on a global basis by developing and overseeing initiatives designed to deter illegal, unethical and improper behavior related to the company’s business.",,,
The Office of Ethics is responsible for ensuring that employees are aware of and trained on the Code of Conduct and company policies.,,,
"Throughout 2018 and 2019, in alignment with our priority to protect and enhance our company’s reputation through safe, ethical and compliant behaviors, the Office of Ethics added three Regional Ethics Officers to its team and established a network of site-based volunteer Ethics Ambassadors outside of the United States.",,,
"Additionally, the Office of Ethics implemented an improved reporting tool operated by an independent third party.",,,
"The tool, named Speak Up (formerly theadviceline.com), is available at MSDethics.com , can be accessed 24/7, and allows employees to raise concerns or ask questions confidentially (where permitted by law) in their preferred language via phone or internet.",,,
GRI 205-2 Communications and training on anticorruption The Office of Ethics and the Office of Global Investigations are responsible for oversight of the global processes for managing investigations into potential ethics and compliance concerns to ensure consistent and timely resolution of potential concerns and implementation of remediation actions.,,,
It is our company policy to maintain a work environment where all employees are expected to report concerns that are potentially inconsistent with the company’s Code of Conduct and policies.,,,
"Our company maintains and communicates regularly to employees about the multiple channels (i.e., management, Human Resources, Compliance, Legal, Speak Up tool at MSDethics.com ) that are available.",,,
"Employees are encouraged, prepared and empowered to raise concerns.",,,
We are committed to maintaining a process for escalation and investigation of potential compliance- related concerns.,,,
"The process is designed to ensure that we promptly investigate all reports of behavior that violate our company’s policies, values or standards and take appropriate remedial action in response to such concerns.",,,
"When we substantiate allegations of ethical misconduct, we take appropriate disciplinary actions to ensure that those who were responsible are held accountable.",,,
"Disciplinary actions can include dismissal from the company, issuance of final written warning letters or financial penalties.",,,
"In addition, we take appropriate steps to address any needed improvements in organizational and process controls.",,,
Retaliation against employees who report such concerns is a violation of corporate policy and will not be tolerated.,,,
We also maintain a policy that will give our company the discretion to recoup incentive payments made to employees in certain instances.,,,
"This policy will apply when a senior leader engages in misconduct or fails to reasonably supervise an employee who engages in misconduct that results in a material policy violation relating to the research, development, manufacturing, sales or marketing of company products where the policy violation causes significant financial or reputational harm to the company.32 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social IndicesAnnual ethics and policy certification An important component of our corporate ethics and compliance program is our annual ethics and policy certification.",,,
"The annual review process requires selected company employees to certify adherence to corporate policies on preventing bribery and corruption, antitrust-law compliance, and conflict of interest and insider trading.",,,
"These employees are also expected to regulate their outside activities to avoid any conflicts of interest, and to certify, in writing, whether actual or potential conflicts of interest exist.",,,
"Where potential conflicts are identified, the Office of Ethics will work with management to take actions to mitigate the potential conflict.",,,
"In addition, all U.S.-based employees must certify compliance with our corporate policy on the effects of exclusions, debarments, suspensions and health care-related criminal convictions, reporting and screening.",,,
"Ethics and compliance training is an important part of creating a strong culture, and our program is reflective of the Code of Conduct and corporate policies tailored to meet the needs of different groups of employees within the organization.",,,
Training on our Code of Conduct is designed as an annual training series that is assigned to all employees worldwide.,,,
All employees are required to complete the assigned ethics and compliance courses.,,,
"The series is focused on our core values: Patients First, Ethics & Integrity, Respect for People, and Innovation & Scientific Excellence.",,,
"The 2019 series consisted of three modules including Code of Conduct, Anti-Bribery and Anticorruption, and Social Media.",,,
Ethics and compliance content is also integrated into business and leadership development courses for managers and senior leaders on an ongoing basis.,,,
"Ethics and integrity are key leadership competencies that are assessed as part of annual performance reviews and play an integral role in our decisions about employee advancement within the company.Ethics and conflicts of interest 2015 2016 2017 2018 2019 Employees trained on the Code of Conduct training series99% 100% 100% 99% 99% Employees who responded to the disclosure statement on the Conflicts of Interest form100% 100% 100% 100% 100% For more information, please visit the Code of Conduct , Compliance , and Engaging With Health Care Professionals pages on MSDresponsibility.com.",,,
"Continuing Medical Education (CME) and Continuing Education (CE) programs Our CME/CE Grant Program supports independent educational programs whose purpose is to maintain, develop or enhance the knowledge, skills and/or professional performance that health care professionals rely on to provide services for patients, the public or the profession.",,,
We are committed to ensuring that our CME/CE programs are educational and not promotional.,,,
"Through them, we seek to increase physicians’ knowledge about the latest scientific data and health care topics, thereby improving patient care.",,,
"The environment in which we sponsor or support educational programs worldwide is complex, governed by a multitude of laws, regulations and medical or industry association guidelines.",,,
We are committed to honoring them in the countries in which we operate.,,,
"CME programs that we support or sponsor are governed by an internal policy that is aligned with the appropriate standards and regulations to which the programs are held including, among other things, independence and financial disclosure.U.S.",,,
"Medical Forums We deliver balanced medical and scientific information to health care professionals within the U.S. through our company’s Medical Forums, which are conducted by external speakers.",,,
Speakers are selected on the basis of their expertise in the relevant subject matter.,,,
"By attending one of our Medical Forums, health care professionals participate in interactive learning on therapeutic and health care industry topics.",,,
The goal of these interactions is to help attendees achieve improved medical results for their patients.,,,
"With our strict standards for conducting these Medical Forums, we comply with the PhRMA Code on Interactions with Health Care Professionals as well as with U.S. Food and Drug Administration (FDA) regulations, which assure that any product presentation is appropriately balanced with information regarding both the product’s potential benefits and its risks, and is consistent with approved product labeling.33 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social IndicesGRI 206: Anti-Competitive Behavior (CR material topic: Responsible sales and marketing) Management approach We adhere to strict ethical sales and marketing practices in all our businesses, whether pharmaceuticals, vaccines or animal health.",,,
One of the ways we provide product information is by maintaining informative and ethical professional relationships with health care providers.,,,
"Our interactions with providers, other customers and consumers are governed by laws and regulations, and by our long-standing global Code of Conduct , Our Values & Standards .",,,
We enforce these external and internal standards through our ethics and compliance program.,,,
We recognize that both our reputation for integrity and the trust that our stakeholders place in us are dependent on our ethical practices.,,,
"Consequently, we want to make certain that the ways in which we market and sell our products to our customers — health care professionals, health insurers and governments — include accurate, balanced and useful information so that prescribers can make the best decisions for their patients.",,,
"Our high ethical sales and marketing standards require that scientific information is the predominant factor in prescribing decisions, reinforcing our reputation for providing high-quality products and for contributing to improvements in public health.",,,
Our professional sales representatives and other employees inform our customers about our medicines and vaccines and their appropriate use.,,,
"To respond to increasing requests for on-demand information, in certain countries we offer resources and product information to health care providers on company websites and other digital platforms.In some countries, where permitted by law, we may directly inform patients and other consumers about diseases and available treatments that they may wish to discuss with their doctors.",,,
"We believe direct-to- consumer advertising contributes to greater awareness about conditions and diseases, which can benefit public health by increasing the number of patients appropriately diagnosed and treated.",,,
"Fostering ethical practices We believe that our marketing, sales and advertising activities make an important contribution to medicine by informing our customers of treatment options based on the most recent scientific information and findings from rigorous clinical studies.",,,
"Our sales and marketing practices are governed by external laws and regulations and industry codes of conduct, and by our own global Code of Conduct , our corporate policies and procedures, and our ethics and compliance program .",,,
"Our ethics and compliance program seeks to address and prevent inappropriate practices, and we evaluate our policies and practices as appropriate.",,,
"Our practices are monitored, and compliance is enforced to ensure that our interactions with customers and consumers help inform their decisions accurately and in a balanced manner.",,,
"We believe that compliance with all policies governing scientific, business and promotion-related activities, in letter and spirit, is a corporate and individual responsibility of the highest order.",,,
"Through our ethical behavior, we strive to ensure that scientific information predominates in prescribing decisions.",,,
"Our Guiding Principles for Ethical Business Practices Involving the Medical and Scientific Community include the following: • We provide current, accurate and balanced information about our products; we share sound scientific and educational information; and we support medical research and education• Our employees are prohibited from offering health care professionals items of personal benefit, such as tickets to sporting events, support for office social events or gift certificates for stores or golf outings.",,,
"Where permitted, we may occasionally provide health care professionals with approved educational items that are not of substantial monetary value and that are intended primarily for educational purposes.",,,
"Such materials may include medical textbooks, medical journals and anatomical models.",,,
"• Our employees and others speaking on behalf of the company may give presentations specifically designed to provide the type of information that practicing health care professionals have indicated is needed and most useful in the treatment of their patients, in accordance with U.S. Food and Drug Administration (FDA) regulations and the regulations of other countries in which the presentations or discussions are taking place • A company representative may offer occasional modest meals to health care professionals in connection with an informational presentation; however, such meals must be in accordance with local codes and regulations For more information, please visit the Sales & Marketing Practices page on MSDresponsibility.com.",,,
"GRI 206-1 Anti-competitive behavior As a condition of employment, all of our sales and marketing employees are required to be certified periodically on sales and marketing practices.",,,
"In the U.S., for example, employees who do not satisfactorily meet these training requirements may not conduct specific activities on their own and must repeat the training until they meet the requirements.",,,
All new employees receive training and testing and must be certified on relevant policies and our company’s ethical operating standards.,,,
"And although many of 34 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social Indicesour employees who market and sell our medicines and vaccines have advanced scientific or medical degrees and backgrounds, all of our sales representatives must complete general sales and product training.",,,
Training is specific to the country where an employee is based and covers the scope of the employee’s responsibilities in ensuring compliance with applicable laws and regulations.,,,
Sales representatives are trained on anti-bribery and anticorruption laws such as the U.S. Foreign Corrupt Practices Act and the UK Bribery Act.,,,
"Sales representatives in the U.S. are also required to understand, among other things, their responsibilities under the Anti-Kickback Statute, the U.S.",,,
"Prescription Drug Marketing Act, and all applicable FDA promotional regulations.",,,
"After this initial training, we require periodic training aimed at recertifying employees on relevant policies and practices in accordance with local and functional requirements.",,,
We stress that if our employees are unsure about the appropriateness of the conduct that they ask for help.,,,
There are several places employees can turn for assistance.,,,
The first option is to talk with their manager.,,,
"If they do not feel comfortable with that course of action, the other resources they may contact are: • Divisional Compliance Departments • Office of Ethics • Privacy Office • Office of General Counsel • Human Resources Department • MSDethics.comIn addition to mandatory training on our Code of Conduct, employees receive training on other levels of business practice and compliance, according to their roles and responsibilities.",,,
We evaluate and update the content for all marketing and sales training periodically to ensure that it remains relevant and current.,,,
"Industry codes of conduct Our sales representatives must provide truthful, non-misleading information in their interactions with the medical and scientific community.",,,
"Our compliance program is consistent with applicable laws and regulations, and is aligned with the International Federation of Pharmaceutical Manufacturers & Associations (IFPMA) Code of Pharmaceutical Marketing Practices , as well as with regional and country industry codes, such as the Pharmaceutical Research and Manufacturers of America (PhRMA) Code and the Compliance Program Guidance for Pharmaceutical Manufacturers , published by the Office of the Inspector General, U.S. Department of Health and Human Services.",,,
The pharmaceutical industry as a whole recognized that more needed to be done to address concerns raised by public officials and stakeholders in the health care community.,,,
"Self-regulating industry codes of Sales and marketing 2015 2016 2017 2019 2019 Number of warning letters or untitled letters from OPDP1 or APLB2 in the U.S.0 0 0 0 0 1 OPDP: Since September 2011, the Division of Drug Marketing, Advertising and Communication (DDMAC) is now the Office of Prescription Drug Promotion (OPDP).",,,
"2 APLB: Advertising and Promotional Labeling Branch (APLB) of the FDA Center for Biologics Evaluation and Research.conduct such as the IFPMA, the European Federation of Pharmaceutical Industries and Associations (EFPIA) and PhRMA codes set the standards that govern the industry’s sales and marketing practices and ensure that companies have adequate policies and procedures in place to comply with the codes.",,,
Among PhRMA’s Code on the Interactions with Healthcare Professionals (the Code) key components is an annual requirement for company CEOs and Chief Compliance Officers to certify personally that they have processes in place that foster compliance with the Code.,,,
The Code also encourages companies to obtain third-party verification of their compliance policies and procedures.,,,
We complete PhRMA Code certification every year in compliance with the Code.,,,
Other requirements of the Code have previously been incorporated into our already strong ethical business practices.,,,
"For example, our company follows the standards for commercial support of continuing medical education established by the Accreditation Council for Continuing Medical Education, and our ethics and compliance program requires that company representatives be periodically assessed to make sure they comply with relevant company policies and standards of conduct.35 MSD ESG Progress Report 2019/2020 Introduction General Disclosures Economic Environmental Social IndicesDirect-to-consumer (DTC) advertising We believe that direct-to-consumer (DTC) advertising can be an important and helpful way to inform patients about diseases that may be relevant to them and about therapeutic options they may want to discuss with their physicians.",,,
Our company has a long-standing policy of voluntarily submitting new U.S.-based DTC advertising campaigns to the FDA for its review and comment before running them.,,,
"Under our DTC policies and practices, the information provided in our DTC advertising must: • Contain appropriate product benefit and risk information • Be appropriately balanced, consistent with FDA regulations, and use appropriate “taste and tone” • Be approved by our company’s Promotion Review Team, a governing body consisting of a team of reviewers (including the job owner, an attorney, a physician, a representative from the Office of Promotion and Advertising Review, and a product scientific specialist) who ensure that promotional material is clinically and scientifically accurate, compliant with applicable laws and regulations, and compliant with company policy We try to help consumers achieve better health outcomes by delivering accurate, relevant and understandable information on disease prevention, identification and potential treatment.",,,
