,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 70,"* Were expanding our product line to includeingredients that offer greater nutritional benefitsor are better for the planet, like chickpeas and otherlegumes, whole grains, plant-based proteins, fruitsand vegetables, nuts and seeds.","('Customer_Welfare', 0.3969864547252655)","('Selling_Practices_And_Product_Labeling', 0.36030739545822144)","('Product_Design_And_Lifecycle_Management', 0.09369264543056488)","('NON-ESG', 0.3969864547252655)","('NON-ESG', 0.36030739545822144)","('NON-ESG', 0.09369264543056488)"
Line 71,Were also striving to take a consistent approach tonutritional labeling throughout the world.,"('Selling_Practices_And_Product_Labeling', 0.6107960939407349)","('Customer_Welfare', 0.2136240154504776)","('Product_Quality_And_Safety', 0.03164712339639664)","(['Packaging'], 0.6107960939407349)","('NON-ESG', 0.2136240154504776)","('NON-ESG', 0.03164712339639664)"
Line 72,Innovative packaging solutions Were developing and deploying disruptive sustainable packaging materials and new models for beverages and convenient foods: Were expanding pilots with the rollout of Off TheEaten Path commercially compostable packaging inWhole Foods in the United States.,"('Product_Design_And_Lifecycle_Management', 0.9331679940223694)","('Energy_Management', 0.007717447355389595)","('Customer_Welfare', 0.007610359229147434)","(['Packaging'], 0.9331679940223694)","('NON-ESG', 0.007717447355389595)","('NON-ESG', 0.007610359229147434)"
Line 73,"We launched Gatorade sachets in Australia, allowingconsumers to use their own reusable water bottles.","('Water_And_Wastewater_Management', 0.512540876865387)","('Energy_Management', 0.13176339864730835)","('Product_Design_And_Lifecycle_Management', 0.09172219038009644)","(['Water Related Risks'], 0.512540876865387)","('NON-ESG', 0.13176339864730835)","('NON-ESG', 0.09172219038009644)"
Line 74,"Were transitioning brands like Pepsi Zero Sugar,Mtn Dew and Aquafina to 100% recycled PET invarious markets.","('Customer_Welfare', 0.654582142829895)","('Competitive_Behavior', 0.057870663702487946)","('Product_Design_And_Lifecycle_Management', 0.04894217848777771)","([], 0.654582142829895)","('NON-ESG', 0.057870663702487946)","('NON-ESG', 0.04894217848777771)"
Line 75,Positive Choices Were inspiring people through our brands to make choices that create more smiles for them and the planet.,"('Human_Rights_And_Community_Relations', 0.4543730616569519)","('Access_And_Affordability', 0.09819501638412476)","('Employee_Engagement_Inclusion_And_Diversity', 0.07110314816236496)","('NON-ESG', 0.4543730616569519)","('NON-ESG', 0.09819501638412476)","('NON-ESG', 0.07110314816236496)"
Line 76,"Planet + people brands Were using the scale of our iconic, globally recognized brands to inspire people to make positive choices for our communities and planet: Were thinking about where ingredients are sourcedand by whom, how much water and energy is usedto make our products, how we can be more efficientand sustainable with our packaging solutions, andhow our brands show up for their communities.","('Selling_Practices_And_Product_Labeling', 0.7905358076095581)","('Customer_Welfare', 0.07166310399770737)","('Product_Design_And_Lifecycle_Management', 0.050875473767519)","(['Packaging'], 0.7905358076095581)","('NON-ESG', 0.07166310399770737)","('NON-ESG', 0.050875473767519)"
Line 77,"We are working to develop industry-wideenvironmental labeling standards that let consumersknow that buying a particular product will help builda more sustainable food system from the way the ingredients were grown, to the way it was made,to the way it was designed to be consumed.","('Selling_Practices_And_Product_Labeling', 0.9115352034568787)","('Customer_Welfare', 0.022229725494980812)","('Product_Design_And_Lifecycle_Management', 0.010890629142522812)","(['Packaging'], 0.9115352034568787)","('NON-ESG', 0.022229725494980812)","('NON-ESG', 0.010890629142522812)"
Line 78,"* Based on our Top 23 convenient foods markets, which represent 86% o f our global convenient foods volume as of 2021For more details see ESG Topics A-Z: Nutrition, Packaging, Sustainable Product Design, Product Labeling and Claimspep+ 5 PepsiCo 2021 ESG Summary Overview POSITIVE AGRICULTURE: 345K + acres farmed with regenerative farming practices toward goal of 7 million by 2030 POSITIVE AGRICULTURE: ~50% of our key ingredients were sustainably sourced toward our goal of 100% by 2030 POSITIVE AGRICULTURE: 14% increase in water-use efficiency as of 2020 to improve the health of high water-risk watersheds where we directly source our crops, toward our goal of 15% by 2025 (versus a 2015 baseline)POSITIVE VALUE CHAIN: CLIMATE 25% reduction in Scope 1 and 2 emissions, toward our goal of 75% by 2030 (versus a 2015 baseline)POSITIVE VALUE CHAIN: CLIMATE ~70% of our global electricity needs in our direct operations were met by renewable sources POSITIVE VALUE CHAIN: CLIMATE 11th top corporate buyer of clean power in North America POSITIVE VALUE CHAIN: WATER 18% improvement of our operational water-use efficiency in high water-risk areas (versus a 2015 baseline)POSITIVE VALUE CHAIN: WATER 6.1B + liters of water replenished into local watersheds in 2021 POSITIVE VALUE CHAIN: PACKAGING 200B plastic bottles are expected to be avoided by 2030 through SodaStreamadoptionPOSITIVE VALUE CHAIN: PACKAGING 22 global markets are transitioning several brands to 100% rPET packaging by end of 2022For additional detailed information and footnotes please refer to the PepsiCo 2021 ESG Performance Metrics.","('Selling_Practices_And_Product_Labeling', 0.4556809961795807)","('Customer_Welfare', 0.2938261926174164)","('Product_Design_And_Lifecycle_Management', 0.11575689911842346)","('NON-ESG', 0.4556809961795807)","('NON-ESG', 0.2938261926174164)","('NON-ESG', 0.11575689911842346)"
Line 79,"* Based on our Top 23 convenient foods markets, which represent 86% o f our global convenient foods volume as of 2021For more details see ESG Topics A-Z: Nutrition, Packaging, Sustainable Product Design, Product Labeling and Claimspep+ 5 PepsiCo 2021 ESG Summary Overview POSITIVE AGRICULTURE: 345K + acres farmed with regenerative farming practices toward goal of 7 million by 2030 POSITIVE AGRICULTURE: ~50% of our key ingredients were sustainably sourced toward our goal of 100% by 2030 POSITIVE AGRICULTURE: 14% increase in water-use efficiency as of 2020 to improve the health of high water-risk watersheds where we directly source our crops, toward our goal of 15% by 2025 (versus a 2015 baseline)POSITIVE VALUE CHAIN: CLIMATE 25% reduction in Scope 1 and 2 emissions, toward our goal of 75% by 2030 (versus a 2015 baseline)POSITIVE VALUE CHAIN: CLIMATE ~70% of our global electricity needs in our direct operations were met by renewable sources POSITIVE VALUE CHAIN: CLIMATE 11th top corporate buyer of clean power in North America POSITIVE VALUE CHAIN: WATER 18% improvement of our operational water-use efficiency in high water-risk areas (versus a 2015 baseline)POSITIVE VALUE CHAIN: WATER 6.1B + liters of water replenished into local watersheds in 2021 POSITIVE VALUE CHAIN: PACKAGING 200B plastic bottles are expected to be avoided by 2030 through SodaStreamadoptionPOSITIVE VALUE CHAIN: PACKAGING 22 global markets are transitioning several brands to 100% rPET packaging by end of 2022For additional detailed information and footnotes please refer to the PepsiCo 2021 ESG Performance Metrics.","('Water_And_Wastewater_Management', 0.5608954429626465)","('Energy_Management', 0.10380391776561737)","('GHG_Emissions', 0.08379963040351868)","(['Water Related Risks'], 0.5608954429626465)","('NON-ESG', 0.10380391776561737)","('NON-ESG', 0.08379963040351868)"
Line 80,"* Based on our Top 23 convenient foods markets, which represent 86% o f our global convenient foods volume as of 2021For more details see ESG Topics A-Z: Nutrition, Packaging, Sustainable Product Design, Product Labeling and Claimspep+ 5 PepsiCo 2021 ESG Summary Overview POSITIVE AGRICULTURE: 345K + acres farmed with regenerative farming practices toward goal of 7 million by 2030 POSITIVE AGRICULTURE: ~50% of our key ingredients were sustainably sourced toward our goal of 100% by 2030 POSITIVE AGRICULTURE: 14% increase in water-use efficiency as of 2020 to improve the health of high water-risk watersheds where we directly source our crops, toward our goal of 15% by 2025 (versus a 2015 baseline)POSITIVE VALUE CHAIN: CLIMATE 25% reduction in Scope 1 and 2 emissions, toward our goal of 75% by 2030 (versus a 2015 baseline)POSITIVE VALUE CHAIN: CLIMATE ~70% of our global electricity needs in our direct operations were met by renewable sources POSITIVE VALUE CHAIN: CLIMATE 11th top corporate buyer of clean power in North America POSITIVE VALUE CHAIN: WATER 18% improvement of our operational water-use efficiency in high water-risk areas (versus a 2015 baseline)POSITIVE VALUE CHAIN: WATER 6.1B + liters of water replenished into local watersheds in 2021 POSITIVE VALUE CHAIN: PACKAGING 200B plastic bottles are expected to be avoided by 2030 through SodaStreamadoptionPOSITIVE VALUE CHAIN: PACKAGING 22 global markets are transitioning several brands to 100% rPET packaging by end of 2022For additional detailed information and footnotes please refer to the PepsiCo 2021 ESG Performance Metrics.","('Water_And_Wastewater_Management', 0.9561324715614319)","('Energy_Management', 0.007733314298093319)","('Waste_And_Hazardous_Materials_Management', 0.003497692057862878)","(['Water Related Risks'], 0.9561324715614319)","('NON-ESG', 0.007733314298093319)","('NON-ESG', 0.003497692057862878)"
Line 81,"* Based on our Top 23 convenient foods markets, which represent 86% o f our global convenient foods volume as of 2021For more details see ESG Topics A-Z: Nutrition, Packaging, Sustainable Product Design, Product Labeling and Claimspep+ 5 PepsiCo 2021 ESG Summary Overview POSITIVE AGRICULTURE: 345K + acres farmed with regenerative farming practices toward goal of 7 million by 2030 POSITIVE AGRICULTURE: ~50% of our key ingredients were sustainably sourced toward our goal of 100% by 2030 POSITIVE AGRICULTURE: 14% increase in water-use efficiency as of 2020 to improve the health of high water-risk watersheds where we directly source our crops, toward our goal of 15% by 2025 (versus a 2015 baseline)POSITIVE VALUE CHAIN: CLIMATE 25% reduction in Scope 1 and 2 emissions, toward our goal of 75% by 2030 (versus a 2015 baseline)POSITIVE VALUE CHAIN: CLIMATE ~70% of our global electricity needs in our direct operations were met by renewable sources POSITIVE VALUE CHAIN: CLIMATE 11th top corporate buyer of clean power in North America POSITIVE VALUE CHAIN: WATER 18% improvement of our operational water-use efficiency in high water-risk areas (versus a 2015 baseline)POSITIVE VALUE CHAIN: WATER 6.1B + liters of water replenished into local watersheds in 2021 POSITIVE VALUE CHAIN: PACKAGING 200B plastic bottles are expected to be avoided by 2030 through SodaStreamadoptionPOSITIVE VALUE CHAIN: PACKAGING 22 global markets are transitioning several brands to 100% rPET packaging by end of 2022For additional detailed information and footnotes please refer to the PepsiCo 2021 ESG Performance Metrics.","('Systemic_Risk_Management', 0.5070956349372864)","('Business_Model_Resilience', 0.21284671127796173)","('Supply_Chain_Management', 0.06508640199899673)","([], 0.5070956349372864)","('NON-ESG', 0.21284671127796173)","('NON-ESG', 0.06508640199899673)"
Line 82,"Our Progress HighlightsOur Progress HighlightsPOSITIVE VALUE CHAIN: PEOPLE Women and men continued to earn within 1% of each other, and women hold 43% of our manager positions worldwide POSITIVE VALUE CHAIN: PEOPLE $40MM scholarship and professional mentoring program created to support Black and Hispanic aspiring and graduating community college students POSITIVE VALUE CHAIN: PEOPLE $500MM+ on track to be spent by 2025 to expand our supplier base and increase our spending with Black and Hispanic suppliersPOSITIVE CHOICES: EXPANDED PORTFOLIO OFFERINGS As of 2021, 53% of our beverage portfolio volume in our top 26 beverage markets met our added sugars reduction target, progress toward our goal of 67% by2025 POSITIVE CHOICES: EXPANDED PORTFOLIO OFFERINGS As of 2021, 75% of our convenient foods portfolio volume in our top 23 convenient foods markets met our saturated fat reduction target, attaining our goal of 75% by2025 POSITIVE CHOICES: INNOVATIVE PACKAGING SOLUTIONS We worked with the Pulpex consortium to develop the worlds first fully recyclable paper bottle that we are working to commercialize andscalePOSITIVE CHOICES: INNOVATIVE PACKAGING SOLUTIONS SodaStream plans to switch all flavors from virgin plastic to alternative materials including metal and rPET, which expects to help consumers avoid nearly 200million virgin plastic bottles by 2025 POSITIVE CHOICES: PLANET + PEOPLE BRANDS Lays RePlay initiative, in partnership with the UEFA Foundation for children and streetfootballworld, reuses empty chip packs to help create sustainable football pitchesPOSITIVE CHOICES: EXPANDED PORTFOLIO OFFERINGS As of 2021, 66% of our convenient foods portfolio volume in our top 23 convenient foods markets met our sodium reduction target, progress toward our goal of 75% by2025POSITIVE VALUE CHAIN: PEOPLE >68MM people reached since 2006 with safe water access, toward 100 million goal by 2030For additional detailed information and footnotes please refer to the PepsiCo 2021 ESG Performance Metrics.","('Supply_Chain_Management', 0.7792702913284302)","('Employee_Engagement_Inclusion_And_Diversity', 0.051689859479665756)","('Labor_Practices', 0.023091008886694908)","(['Supply Chain Management'], 0.7792702913284302)","('NON-ESG', 0.051689859479665756)","('NON-ESG', 0.023091008886694908)"
Line 83,"Our Progress HighlightsOur Progress HighlightsPOSITIVE VALUE CHAIN: PEOPLE Women and men continued to earn within 1% of each other, and women hold 43% of our manager positions worldwide POSITIVE VALUE CHAIN: PEOPLE $40MM scholarship and professional mentoring program created to support Black and Hispanic aspiring and graduating community college students POSITIVE VALUE CHAIN: PEOPLE $500MM+ on track to be spent by 2025 to expand our supplier base and increase our spending with Black and Hispanic suppliersPOSITIVE CHOICES: EXPANDED PORTFOLIO OFFERINGS As of 2021, 53% of our beverage portfolio volume in our top 26 beverage markets met our added sugars reduction target, progress toward our goal of 67% by2025 POSITIVE CHOICES: EXPANDED PORTFOLIO OFFERINGS As of 2021, 75% of our convenient foods portfolio volume in our top 23 convenient foods markets met our saturated fat reduction target, attaining our goal of 75% by2025 POSITIVE CHOICES: INNOVATIVE PACKAGING SOLUTIONS We worked with the Pulpex consortium to develop the worlds first fully recyclable paper bottle that we are working to commercialize andscalePOSITIVE CHOICES: INNOVATIVE PACKAGING SOLUTIONS SodaStream plans to switch all flavors from virgin plastic to alternative materials including metal and rPET, which expects to help consumers avoid nearly 200million virgin plastic bottles by 2025 POSITIVE CHOICES: PLANET + PEOPLE BRANDS Lays RePlay initiative, in partnership with the UEFA Foundation for children and streetfootballworld, reuses empty chip packs to help create sustainable football pitchesPOSITIVE CHOICES: EXPANDED PORTFOLIO OFFERINGS As of 2021, 66% of our convenient foods portfolio volume in our top 23 convenient foods markets met our sodium reduction target, progress toward our goal of 75% by2025POSITIVE VALUE CHAIN: PEOPLE >68MM people reached since 2006 with safe water access, toward 100 million goal by 2030For additional detailed information and footnotes please refer to the PepsiCo 2021 ESG Performance Metrics.","('Customer_Welfare', 0.7517042756080627)","('Selling_Practices_And_Product_Labeling', 0.042445093393325806)","('Product_Design_And_Lifecycle_Management', 0.040933091193437576)","([], 0.7517042756080627)","('NON-ESG', 0.042445093393325806)","('NON-ESG', 0.040933091193437576)"
Line 84,"Our Progress HighlightsOur Progress HighlightsPOSITIVE VALUE CHAIN: PEOPLE Women and men continued to earn within 1% of each other, and women hold 43% of our manager positions worldwide POSITIVE VALUE CHAIN: PEOPLE $40MM scholarship and professional mentoring program created to support Black and Hispanic aspiring and graduating community college students POSITIVE VALUE CHAIN: PEOPLE $500MM+ on track to be spent by 2025 to expand our supplier base and increase our spending with Black and Hispanic suppliersPOSITIVE CHOICES: EXPANDED PORTFOLIO OFFERINGS As of 2021, 53% of our beverage portfolio volume in our top 26 beverage markets met our added sugars reduction target, progress toward our goal of 67% by2025 POSITIVE CHOICES: EXPANDED PORTFOLIO OFFERINGS As of 2021, 75% of our convenient foods portfolio volume in our top 23 convenient foods markets met our saturated fat reduction target, attaining our goal of 75% by2025 POSITIVE CHOICES: INNOVATIVE PACKAGING SOLUTIONS We worked with the Pulpex consortium to develop the worlds first fully recyclable paper bottle that we are working to commercialize andscalePOSITIVE CHOICES: INNOVATIVE PACKAGING SOLUTIONS SodaStream plans to switch all flavors from virgin plastic to alternative materials including metal and rPET, which expects to help consumers avoid nearly 200million virgin plastic bottles by 2025 POSITIVE CHOICES: PLANET + PEOPLE BRANDS Lays RePlay initiative, in partnership with the UEFA Foundation for children and streetfootballworld, reuses empty chip packs to help create sustainable football pitchesPOSITIVE CHOICES: EXPANDED PORTFOLIO OFFERINGS As of 2021, 66% of our convenient foods portfolio volume in our top 23 convenient foods markets met our sodium reduction target, progress toward our goal of 75% by2025POSITIVE VALUE CHAIN: PEOPLE >68MM people reached since 2006 with safe water access, toward 100 million goal by 2030For additional detailed information and footnotes please refer to the PepsiCo 2021 ESG Performance Metrics.","('Product_Design_And_Lifecycle_Management', 0.8710415959358215)","('Selling_Practices_And_Product_Labeling', 0.021256009116768837)","('Customer_Welfare', 0.019784998148679733)","(['Packaging'], 0.8710415959358215)","('NON-ESG', 0.021256009116768837)","('NON-ESG', 0.019784998148679733)"
Line 85,"Our Progress HighlightsOur Progress HighlightsPOSITIVE VALUE CHAIN: PEOPLE Women and men continued to earn within 1% of each other, and women hold 43% of our manager positions worldwide POSITIVE VALUE CHAIN: PEOPLE $40MM scholarship and professional mentoring program created to support Black and Hispanic aspiring and graduating community college students POSITIVE VALUE CHAIN: PEOPLE $500MM+ on track to be spent by 2025 to expand our supplier base and increase our spending with Black and Hispanic suppliersPOSITIVE CHOICES: EXPANDED PORTFOLIO OFFERINGS As of 2021, 53% of our beverage portfolio volume in our top 26 beverage markets met our added sugars reduction target, progress toward our goal of 67% by2025 POSITIVE CHOICES: EXPANDED PORTFOLIO OFFERINGS As of 2021, 75% of our convenient foods portfolio volume in our top 23 convenient foods markets met our saturated fat reduction target, attaining our goal of 75% by2025 POSITIVE CHOICES: INNOVATIVE PACKAGING SOLUTIONS We worked with the Pulpex consortium to develop the worlds first fully recyclable paper bottle that we are working to commercialize andscalePOSITIVE CHOICES: INNOVATIVE PACKAGING SOLUTIONS SodaStream plans to switch all flavors from virgin plastic to alternative materials including metal and rPET, which expects to help consumers avoid nearly 200million virgin plastic bottles by 2025 POSITIVE CHOICES: PLANET + PEOPLE BRANDS Lays RePlay initiative, in partnership with the UEFA Foundation for children and streetfootballworld, reuses empty chip packs to help create sustainable football pitchesPOSITIVE CHOICES: EXPANDED PORTFOLIO OFFERINGS As of 2021, 66% of our convenient foods portfolio volume in our top 23 convenient foods markets met our sodium reduction target, progress toward our goal of 75% by2025POSITIVE VALUE CHAIN: PEOPLE >68MM people reached since 2006 with safe water access, toward 100 million goal by 2030For additional detailed information and footnotes please refer to the PepsiCo 2021 ESG Performance Metrics.","('Customer_Welfare', 0.44202056527137756)","('Product_Design_And_Lifecycle_Management', 0.18524570763111115)","('Energy_Management', 0.058697037398815155)","('NON-ESG', 0.44202056527137756)","('NON-ESG', 0.18524570763111115)","('NON-ESG', 0.058697037398815155)"
Line 86,"(Continued)Our Progress Highlights2006 Launch of Performance with Purpose, integrating sustainability into our daily business operations 2021 PepsiCo announces a 2030 goal to spread regenerative agriculture practices across 7million acres, estimated to eliminate at least 3million tons of GHGs2021 PepsiCo sets an ambitious new target to achieve net-zero emissions by 2040, one decade earlier than called for in the Paris Agreement2021 pep+ (PepsiCo Positive) is introduced2021 PepsiCo is recognized with the inaugural Terra Carta Seal awarded by His Royal Highness The Prince of Wales and Sustainable Markets Initiative for demonstrating commitment to, and driving momentum towards, the creation of genuinely sustainable markets2020 PepsiCo exceeds safe water access goal 5 years early, delivering access to safe water to more than 55million people to date since 20062009 Naked Juice first U.","('GHG_Emissions', 0.9663892984390259)","('Air_Quality', 0.005931277759373188)","('Ecological_Impacts', 0.003491387004032731)","([], 0.9663892984390259)","('NON-ESG', 0.005931277759373188)","('NON-ESG', 0.003491387004032731)"
Line 87,"(Continued)Our Progress Highlights2006 Launch of Performance with Purpose, integrating sustainability into our daily business operations 2021 PepsiCo announces a 2030 goal to spread regenerative agriculture practices across 7million acres, estimated to eliminate at least 3million tons of GHGs2021 PepsiCo sets an ambitious new target to achieve net-zero emissions by 2040, one decade earlier than called for in the Paris Agreement2021 pep+ (PepsiCo Positive) is introduced2021 PepsiCo is recognized with the inaugural Terra Carta Seal awarded by His Royal Highness The Prince of Wales and Sustainable Markets Initiative for demonstrating commitment to, and driving momentum towards, the creation of genuinely sustainable markets2020 PepsiCo exceeds safe water access goal 5 years early, delivering access to safe water to more than 55million people to date since 20062009 Naked Juice first U.","('Water_And_Wastewater_Management', 0.9649143218994141)","('Energy_Management', 0.0032874764874577522)","('GHG_Emissions', 0.0025123374070972204)","(['Water Related Risks'], 0.9649143218994141)","('NON-ESG', 0.0032874764874577522)","('NON-ESG', 0.0025123374070972204)"
Line 88,"S. brand to transition to 100% rPET bottles2012 PepsiCo wins prestigious Stockholm Industry Water Award2013 Sustainable Farming Program (SFP) launches; as of 2021, more than 90% of grower-sourced crops are sustainably sourced worldwide through SFP2017 1st Demonstration Farm opens in India; in 2021, 72 farms are testing and sharing best practices around the world2018 PepsiCo acquires SodaStream, #1 sparkling water brand in the world by volume, with the potential to avoid 200 billion single-use plastic bottles by 20302010 Our first all-electric delivery trucks hit the road 2019 PepsiCo receives Climate Leadership Award2020 PepsiCo achieves shift to 100% renewable electricity in U.","('Customer_Welfare', 0.31121304631233215)","('Water_And_Wastewater_Management', 0.1520388275384903)","('Product_Design_And_Lifecycle_Management', 0.1364801973104477)","('NON-ESG', 0.31121304631233215)","('NON-ESG', 0.1520388275384903)","('NON-ESG', 0.1364801973104477)"
Line 89,"S. brand to transition to 100% rPET bottles2012 PepsiCo wins prestigious Stockholm Industry Water Award2013 Sustainable Farming Program (SFP) launches; as of 2021, more than 90% of grower-sourced crops are sustainably sourced worldwide through SFP2017 1st Demonstration Farm opens in India; in 2021, 72 farms are testing and sharing best practices around the world2018 PepsiCo acquires SodaStream, #1 sparkling water brand in the world by volume, with the potential to avoid 200 billion single-use plastic bottles by 20302010 Our first all-electric delivery trucks hit the road 2019 PepsiCo receives Climate Leadership Award2020 PepsiCo achieves shift to 100% renewable electricity in U.","('Energy_Management', 0.9577738046646118)","('Management_Of_Legal_And_Regulatory_Framework', 0.006602833513170481)","('Product_Design_And_Lifecycle_Management', 0.004705034662038088)","([], 0.9577738046646118)","('NON-ESG', 0.006602833513170481)","('NON-ESG', 0.004705034662038088)"
Line 90,"S. direct operationsIn 2006, PepsiCo started on a journey to transform the way we do business so that we can deliver strong financial returns in a way that is responsive to the needs of the world around us.","('Business_Model_Resilience', 0.6740284562110901)","('Product_Design_And_Lifecycle_Management', 0.06111613288521767)","('Customer_Welfare', 0.03678866848349571)","(['Human Capital Development', 'Innovation Management'], 0.6740284562110901)","('NON-ESG', 0.06111613288521767)","('NON-ESG', 0.03678866848349571)"
Line 91,"Milestones 8 PepsiCo 2021 ESG Summary OverviewFORWARD-LOOKING STATEMENTS This PepsiCo, Inc. 2021 ESG Summary contains statements reflecting our views about our future performance that constitute forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995.","('Management_Of_Legal_And_Regulatory_Framework', 0.6246654391288757)","('Business_Ethics', 0.10503310710191727)","('Competitive_Behavior', 0.07362635433673859)","([], 0.6246654391288757)","('NON-ESG', 0.10503310710191727)","('NON-ESG', 0.07362635433673859)"
Line 92,"Forward-looking statements are generally identified through the inclusion of words such as aim, anticipate, believe, drive, estimate, expect, goal, intend, may, plan, project, strategy, strive, target and will or similar statements or variations of such terms and other similar expressions.","('Business_Model_Resilience', 0.6391162872314453)","('Director_Removal', 0.04662767052650452)","('Physical_Impacts_Of_Climate_Change', 0.041621387004852295)","(['Human Capital Development', 'Innovation Management'], 0.6391162872314453)","('NON-ESG', 0.04662767052650452)","('NON-ESG', 0.041621387004852295)"
Line 93,Forward-looking statements inherently involve risks and uncertainties.,"('Systemic_Risk_Management', 0.7931560277938843)","('Business_Ethics', 0.04293108731508255)","('Competitive_Behavior', 0.03198394551873207)","([], 0.7931560277938843)","('NON-ESG', 0.04293108731508255)","('NON-ESG', 0.03198394551873207)"
Line 94,"For information on certain factors that could cause actual events or results to differ materially from our expectations, please see PepsiCos filings with the Securities and Exchange Commission, including its most recent annual report on Form 10-K and subsequent reports on Forms 10-Q and 8-K.","('Management_Of_Legal_And_Regulatory_Framework', 0.4255479574203491)","('Systemic_Risk_Management', 0.16091786324977875)","('Competitive_Behavior', 0.1183205172419548)","('NON-ESG', 0.4255479574203491)","('NON-ESG', 0.16091786324977875)","('NON-ESG', 0.1183205172419548)"
Line 95,"Investors are cautioned not to place undue reliance on any such forward-looking statements, which speak only as of the date they are made.","('Systemic_Risk_Management', 0.2894255220890045)","('Management_Of_Legal_And_Regulatory_Framework', 0.21468445658683777)","('Business_Model_Resilience', 0.13897442817687988)","('NON-ESG', 0.2894255220890045)","('NON-ESG', 0.21468445658683777)","('NON-ESG', 0.13897442817687988)"
Line 96,"PepsiCo undertakes no obligation to update any forward-looking statements, whether as a result of new information, future events or otherwise.","('Management_Of_Legal_And_Regulatory_Framework', 0.6190537214279175)","('Customer_Privacy', 0.05306152626872063)","('Director_Removal', 0.041643306612968445)","([], 0.6190537214279175)","('NON-ESG', 0.05306152626872063)","('NON-ESG', 0.041643306612968445)"
Line 97,"Read the PepsiCo 2021 ESG Summary here >> Performance metrics and targets, footnotes and additional detailed information can be found in the PepsiCo 2021 ESG Performance Metrics .","('Business_Model_Resilience', 0.4107694625854492)","('Systemic_Risk_Management', 0.32377055287361145)","('Supply_Chain_Management', 0.04025519639253616)","('NON-ESG', 0.4107694625854492)","('NON-ESG', 0.32377055287361145)","('NON-ESG', 0.04025519639253616)"
