JPM_2019.pdf,JPM_2018.pdf,JPM_2020.pdf,JPM_2021.pdf,JPM_2022.pdf
"We are investing in our customers, employees and communities around the world to break down barriers to opportunity and create an economy that works for more people.",,,,
"In response to COVID-19, and in addition to efforts across the firm to support our customers and employees in need, we made an initial $200 million commitment to assist those most affected by humanitarian challenges, as well as create sustainable and innovative solutions to help communities recover when the crisis subsides.",,,,
This commitment included $150 million in low-cost capital to help underserved small businesses and nonprofits access funding through community partners and a $50 million philanthropic investment to help address immediate and long-term impacts of COVID-19.,,,,
"We will continue to focus on areas where we can leverage our core business, philanthropy and policy expertise to help the most vulnerable in the short and long term.",,,,
"Our Approach Our firm is combining our business and policy expertise, sustainable business practices, data, capital and global presence to advance solutions aimed at improving people’s lives.",,,,
"Our approach is strategic and data driven, and we have developed, tested and continuously refine it on the ground in communities around the world.",,,,
Advancing Policy Solutions Public policy is a critical tool to scale the most innovative and impactful approaches that bring about lasting change.,,,,
"In 2019, we launched the JPMorgan Chase Policy Center to develop and advance sustainable, evidence-based policy solutions designed to drive inclusive economic growth in the U.S. and around the world.",,,,
"The first focus area for the Policy Center is advancing federal and state policy changes to remove barriers to employment for people with criminal backgrounds, such as “banning the box” on job applications and increasing access to education through Pell grants—which provide financial aid to low-income students—for people in prison.",,,,
"One in three Americans has a criminal record, which constitutes a significant barrier to employment for many people.",,,,
"Providing education, skills training and employment opportunities to people with arrest or conviction histories can have a huge impact.",,,,
"It enables them to support their families, save money and secure stable housing.",,,,
"It also helps reduce recidivism, increase public safety, build stronger communities and strengthen the economy.",,,,
Another area of focus for the Policy Center is advancing local policy solutions that will enable more young people—particularly those who lack opportunity—to access high-quality career readiness programs that pave the way to well-paying jobs.,,,,
And the Policy Center will play an integral role as we respond to and recover from the impacts of COVID-19.,,,,
"Harnessing the Power of Data Sound public policy is informed by timely, granular data.",,,,
The JPMorgan Chase Institute is dedicated to delivering data-rich analyses and expert insights for the public good.,,,,
"Our firm serves 63 million households through our consumer banking business, and by leveraging the unique assets and proprietary data of the firm, the Institute provides policymakers, businesses and nonprofit leaders with timely data and thoughtful analyses to help address critical issues and advance global prosperity.",,,,
"Our data allow us to better understand and answer important questions about the financial health and resilience of U.S. consumers, businesses and communities, as well as study labor and financial markets.",,,,
"In 2019, the Institute shared valuable insights across a range of areas, including how student loan payments affect the financial lives of 4.6 million families, how Miami’s small businesses turn a profit yet have limited cash buffers and how families are weathering financial volatility on a monthly basis.",,,,
JPMORGAN CHASE & CO. Environmental Social & Governance Report 24 SUPPORTING OUR COMMUNITIESINVESTING IN OUR EMPLOYEESPROMOTING SOUND GOVERNANCEADVANCINGSUSTAINABILITYSERVING OUR CUSTOMERS I NTRODUCTIONOur Focus Areas Our firm is focused on advancing inclusive growth where we have the ability to make a real and lasting impact.,,,,
"As the world faces the health and economic consequences of COVID-19, we will lean into our core areas of expertise to support vulnerable individuals, small businesses and communities as they face financial hardship and uncertain work opportunities, a shifting business landscape and increased pressure to access or maintain affordable housing.",,,,
Preparing Workers for the Future of Work Technological change continues to transform the world of work.,,,,
"By 2030, more than 30% of American workers and 375 million workers globally will need to change jobs or upgrade their skills significantly to advance within the workforce.",,,,
"In 2019, JPMorgan Chase announced a $350 million investment over five years to equip young people and adults with the skills to succeed in a rapidly changing economy.",,,,
"We are working to create greater economic mobility and career pathways for workers inside our firm (see p. 20), as well as in our communities.",,,,
This new commitment includes $75 million to enable more young people to get education and real-world work experiences.,,,,
"Our first investment as part of this commitment was $7 million to support Denver, Colorado’s nationally recognized youth apprenticeship program and scale it to connect more underserved students to degrees and credentials aligned with in-demand careers.",,,,
"These investments build on our firm’s long-standing efforts to support education, skills training and policy solutions that connect job seekers to high-quality jobs in a changing economy.",,,,
"Over the past six years, we have helped more than 150,000 people across 37 countries develop in-demand job skills.",,,,
"Supporting Small Businesses Through our investments in communities around the world, we have seen firsthand how underserved, minority entrepreneurs have the power to lift up communities.",,,,
Yet these populations often face unique barriers that inhibit their success.,,,,
This is why our efforts focus on unleashing their power as drivers of opportunity.,,,,
"Through the Entrepreneurs of Color Fund, we have provided minority entrepreneurs in Detroit, Chicago, the South Bronx, the Bay Area and the Greater Washington region with access to capital, education and other resources.",,,,
"Through 2019, we committed over $17 million through the Entrepreneurs of Color Fund, resulting in more than 475 loans that created or retained over 3,000 jobs.Cultivating Thriving Neighborhoods Housing that individuals and families can afford, in proximity to economic opportunity and basic services, is the cornerstone of vibrant and resilient neighborhoods.",,,,
"Producing, preserving and protecting affordable housing is essential to our strategy for creating thriving neighborhoods.",,,,
"For example, as part of a $75 million commitment to the Bay Area our firm announced in early 2020 through our Advancing Cities effort, we are investing $27 million to develop and preserve affordable housing in San Francisco and Oakland.",,,,
"This investment, which combines long-term, low-cost loans and philanthropic capital, will provide more affordable housing and protect local residents from being displaced.",,,,
"In addition, we have hosted six Partnerships for Raising Opportunity in Neighborhoods (PRO Neighborhoods) competitions, awarding more than $131 million to over 95 community development financial institutions across the U.S. As of 2019, the winners have raised over $870 million in outside capital and made over 35,000 loans worth over $475 million dedicated to low- and moderate-income communities.",,,,
"In 2020, the PRO Neighborhoods Competition merged with our Advancing Cities Challenge to continue to source innovative and sustainable solutions and address persistent problems facing communities (see p. 27).",,,,
"JPMORGAN CHASE & CO. Environmental Social & Governance Report 25 SUPPORTING OUR COMMUNITIESINVESTING IN OUR EMPLOYEESPROMOTING SOUND GOVERNANCEADVANCINGSUSTAINABILITYSERVING OUR CUSTOMERS INTRODUCTIONStrengthening Financial Health Sound financial health is the foundation on which strong and resilient households, communities and economies are built.",,,,
"We are using our data, expertise and capital to improve the financial health of customers, employees and communities.",,,,
"In 2019, JPMorgan Chase made a $25 million commitment to the Financial Solutions Lab, which supports technology-based innovations that address the needs of underserved consumers.",,,,
"This investment builds on our five-year collaboration with the Financial Solutions Lab, which has supported nearly 40 innovative fintech startups that have raised over $500 million in capital since joining the program, helping U.S. residents save more than $1 billion.",,,,
"Through the Financial Inclusion Lab, JPMorgan Chase—in collaboration with the Indian Institute of Management Ahmedabad’s Centre for Innovation Incubation and Entrepreneurship and MicroSave Consulting—is supporting innovative, technology-enabled solutions to address the financial health of people in India.",,,,
"Through 2019, the Financial Inclusion Lab has supported 18 fintech startups that have expanded their services to reach more than 900,000 people in underserved communities in India.",,,,
"Additionally, together with U.K. aid, we committed $15 million to Catalyst Fund to advance financial inclusion in emerging markets.Leveraging the Talent and Commitment of Our Employees We leverage the considerable talent and commitment of our employees by connecting them with opportunities to support inclusive growth in the communities where we live, work and operate.",,,,
"In 2019, we implemented a new firmwide policy that provides up to eight hours of paid time off annually for volunteering and community engagement activities.",,,,
"And, during the year, nearly 73,000 employees volunteered 467,000 hours, which includes JPMorgan Chase Service Corps activities (see p. 20).",,,,
"In addition, more than 400 employees contributed to the Board Match program, which doubles the impact of eligible employees’ donations to nonprofits on whose boards they serve and resulted in the firm matching more than $1.6 million to those organizations.",,,,
JPMORGAN CHASE & CO. Environmental Social & Governance Report 26 SUPPORTING OUR COMMUNITIESINVESTING IN OUR EMPLOYEESPROMOTING SOUND GOVERNANCEADVANCINGSUSTAINABILITYSERVING OUR CUSTOMERS INTRODUCTIONExpanding Opportunity through Advancing Cities Cities offer tremendous potential as engines of inclusive economic growth.,,,,
"Advancing Cities is our firm’s $500 million, five-year effort to expand economic opportunity in the world’s cities through low-cost, long-term loans and philanthropic investments.",,,,
"A key component of the initiative is an annual Advancing Cities Challenge, which is designed to spark creative, collaborative and sustainable solutions that address cross-cutting challenges and help make the economy work for more people.",,,,
"In 2019, we announced the inaugural Advancing Cities Challenge winners, awarding a total of $15 million to Chicago, Ill.; Louisville, Ky.; Miami, Fla.; San Diego, Calif.; and Syracuse, N.Y. During the year, we also committed $41 million in long-term, low-cost loans to drive inclusive growth in low-income communities.",,,,
"Other highlights of our impact through 2019 include: Detroit Six years into our $200 million commitment: ~14,728 people participated in w orkforce training programs ~2,002 units of affor dable housing were created or preserved ~17,255 people received servic es to improve their financial health ~3,855 jobs were created or retained ~7,718 small businesses received capital or technical assistanceChicago South and West sides Two years into our $40 million commitment: ~6,362 people participated in work force training programs ~48 units of affor dable housing were created or preserved ~49,314 people rec eived services to improve their financial health ~2,323 jobs were created or retained ~3,305 small businesses received capital or technical assistance Greater Washington region Two years into our $25 million commitment: ~224 people participated in w orkforce training programs ~955 units of affor dable housing were created or preserved ~1,120 jobs were created or retained ~2 ,092 small businesses received capital or technical assistance Greater Paris First year of our $30 million commitment: ~4,000 people participated in career readiness programs ~12 small businesses rec eived capital or technical assistance Additional Online Resources ~Annual Report ~COVID-19 Response ~JPMorgan Chase Institute ~JPMorgan Chase Polic yCenter ~Our Impact For additional information, please visit www.jpmorganchase.com/ESG.",,,,
"JPMORGAN CHASE & CO. Environmental Social & Governance Report 27 SUPPORTING OUR COMMUNITIESINVESTING IN OUR EMPLOYEESPROMOTING SOUND GOVERNANCEADVANCINGSUSTAINABILITYSERVING OUR CUSTOMERS INTRODUCTIONAdvancing Sustainability Our firm has operations around the world and works with clients in nearly every sector of the economy, including corporations, development finance institutions, governments and investors.",,,,
"Across our business, we see the imperative to create a lower-carbon, more sustainable economy as more pressing than ever.",,,,
"Climate change, in particular, is driving a growing set of risks for business and communities around the world.",,,,
"At the same time, there are new opportunities to advance solutions that protect the environment, support sustainable development and grow the economy.",,,,
JPMorgan Chase is leveraging our expertise in the financial markets to promote sustainable business practices and help our clients raise the capital they need to invest in projects and initiatives intended to achieve positive environmental and social outcomes.,,,,
Our firm is aiming to facilitate $200 billion in financing in 2020 to drive action on climate change and advance the objectives of the United Nations Sustainable Development Goals (SDGs).,,,,
"This new target—which we announced in early 2020 and builds on our previous clean financing goal—represents a significant expansion of our commitment to creating a more sustainable future for clients, customers, employees and communities we serve.",,,,
"We are focusing this financing on green initiatives, as well on social objectives and economic development, including increasing access to housing, education and health care and advancing infrastructure, innovation and growth.",,,,
"As the world faces the health and economic consequences of COVID-19, the need for investment in sustainable development will be even more pressing.",,,,
"At the same time, the crisis has underscored the interconnected nature of our world, highlighting the need to take collective action to address other global challenges such as climate change.",,,,
"While this new target is for 2020 alone, we recognize that the issues we are tackling are significant and require sustained commitment and resources over the long term.",,,,
"We intend to set a new sustainable development financing target each year—with the goal to keep growing it over time.Our Firmwide Sustainability Strategy Business Opportunities Financing transactions that support climate action and advance the United Nations Sustainable Development Goals Risk Management Managing environmental and social risks that may impact our business, including risks driven by climate change Policy Engagement Supporting market-based policy solutions to address climate change, drive clean energy innovation and protect underserved communities Transparency & Reporting Reporting on our approach to and performance on ESG matters Operational Sustainability Working to source renewable energy for 100% of our global power needs by the end of 2020 Employee Engagement Leveraging the skills and passion of our employees to advance sustainability in our business and communities JPMORGAN CHASE & CO. Environmental Social & Governance Report 28INVESTING IN OUR EMPLOYEESPROMOTING SOUND GOVERNANCESERVING OUR CUSTOMERSSUPPORTING OUR COMMUNITIES I NTRODUCTION ADVANCINGSUSTAINABILITY 28Business Opportunities JPMorgan Chase’s objective is to support our clients that are thinking strategically about the transition to a lower-carbon economy and positioning themselves to adapt to and capitalize on opportunities to advance sustainable solutions.",,,,
"We leverage our deep insight into financial markets and the expertise of our bankers, risk managers, industry experts and others to help our clients achieve their goals.",,,,
Corporate & Investment Bank and Commercial Banking One way we help our clients meet their sustainability efforts is through our financing activities.,,,,
"Our goal to facilitate $200 billion in 2020 to advance the SDGs builds on and expands the previous target we set in 2017, which was to facilitate $200 billion by 2025 in clean financing.",,,,
This new 2020 goal includes approximately $50 billion toward green initiatives that will also fulfill our 2017 clean financing target.,,,,
"We established a new goal in 2020 because we were already nearly three-quarters of the way toward our 2025 clean financing target —and because the environmental, social and economic needs the world is facing require us to think bigger.",,,,
"Effectively tackling critical global challenges like climate change requires addressing the full spectrum of development needs, as reflected in the SDGs.",,,,
"This financing activity is principally led by our CIB and CB businesses, which collectively provide strategic advice, raise capital, extend loans and offer risk management solutions for large- and medium-sized corporations, governments and institutions.",,,,
Our capabilities include: ~Underwriting debt with a sustainable use of proceeds.,,,,
"In 2019, JPMorgan Chase underwrote $14.6 billion in green bonds and bonds with a sustainable use of proceeds.",,,,
"For example, we served as joint bookrunner on ReNew Power’s $525 million Restricted Group green bond issuance.",,,,
"ReNew Power is India’s largest renewable energy independent power producer, with more than 8 gigawatts (GW) of wind and solar capacity commissioned and under construction.",,,,
The proceeds from the issue were used to refinance some of ReNew’s existing debt and finance investments in new green power projects.,,,,
~Financing and risk management.,,,,
"JPMorgan Chase provides financing and risk management solutions to support clients’ renewable energy projects and to facilitate new energy, technology, transportation, waste management and water treatment innovations.",,,,
"For example, since 2003, JPMorgan Chase has committed or arranged over $24 billion in tax equity financing for wind, solar and geothermal energy projects in the U.S., including $3 billion for wind and solar projects in 2019.",,,,
~Providing advisory services.,,,,
"JPMorgan Chase advises clients on strategic transactions, such as mergers and acquisitions, initial public offerings and capital raising.",,,,
"In 2019, the firm acted as a bookrunner on the initial public offering for Sunnova Energy International, Inc. [NYSE: NOVA], a residential solar and energy service provider that serves over 78,000 customers in more than 20 U.S. states and territories.",,,,
~Advancing sustainability through research.,,,,
We leverage our research capabilities to advance sustainability and ESG investment strategies.,,,,
"In 2019, our firm published approximately 115 reports assessing the macro- and sector-level impact of climate change and outlining different approaches to integrating ESG into investment strategies.",,,,
"In addition, through J.P. Morgan ESG (JESG)—a suite of indices we launched in 2018 that integrate ESG factors into a composite benchmark—we provide scoring coverage for over 4,500 global corporate issuers across 14 sectors and nearly 300 sovereigns and quasi-sovereigns.",,,,
"The ESGQ quantitative metric for stock selection helps investors pick stocks that prioritize ESG factors and covers a universe of 5,124 stocks globally.",,,,
"In 2020, J.P. Morgan expanded its dedicated ESG research capabilities, adding ESG specialists in both our Equity Research and Global Index Research groups.",,,,
"JPMORGAN CHASE & CO. Environmental Social & Governance Report 29INVESTING IN OUR EMPLOYEESPROMOTING SOUND GOVERNANCESERVING OUR CUSTOMERSSUPPORTING OUR COMMUNITIES INTRODUCTION ADVANCINGSUSTAINABILITYAsset & Wealth Management Sustainable investing is a priority within our AWM business, which has $2.4 trillion in assets under management (AUM) and works with institutional, wholesale and professional clients around the world to invest capital to achieve their financial goals.",,,,
Our Asset Management business believes that incorporation of material ESG issues into the investment process can help to deliver enhanced risk-adjusted returns over the long term and it has committed to integrate ESG factors across all eligible strategies.,,,,
"Building on ESG integration, we also provide a range of dedicated sustainable investing products that aim to deliver financial returns, align portfolios with client values and help meet a diverse set of goals.",,,,
"As of year-end 2019, our Asset Management business had more than $1.3 trillion of AUM in ESG-integrated strategies and $2.4 billion in our suite of 11 dedicated sustainable investing products.",,,,
"As a fiduciary of our clients’ assets, we are committed to making sure that the companies in which we invest focus on responsible allocation of capital and long-term value creation with an investment-led, expert-driven investment stewardship approach.",,,,
"Our Asset Management business supports and participates in industry advocacy efforts aimed at addressing climate change, such as the TCFD and the United Nations-supported Principles for Responsible Investment (PRI) initiative.",,,,
"And, in 2020, Asset Management joined the Climate Action 100+ investor initiative to enhance its engagement with companies on climate-related risks and opportunities.",,,,
Our Wealth Management business is also working to expand and enhance how we help clients who want to pursue sustainable investing within their portfolios.,,,,
"Through white papers and other resources, we support our clients’ interests and share insights on sustainability topics such as sustainable agriculture, circular economy, electric vehicles and clean energy.",,,,
"Across equities, fixed income, alternatives and multi-asset portfolios, Wealth Management has 80 investment strategies globally geared toward sustainable investing, with $7.3 billion in AUM as of year-end 2019.",,,,
"These strategies span multiple approaches, including ESG integration, exclusionary screening, thematic investing and impact investing.",,,,
We continue to develop tools to help clients achieve their sustainable investing goals and new opportunities for our clients to participate in impact investing funds.,,,,
"For example, in 2019 we offered a new investment opportunity to Wealth Management clients through RRG Capital Management, which is an impact-focused fund manager that—in partnership with The Nature Conservancy as a technical advisor—raised a fund that aims to invest across multiple synergistic themes such as water, farm acquisition and development, habitat conservation and renewable energy and storage.",,,,
"Expanding Our Firm’s Capacity and Capabilities To support JPMorgan Chase’s commitment to advance the SDGs and meet growing client demand, we are expanding our firm’s capacity and capabilities in emerging markets.",,,,
"In 2020, we launched the J.P. Morgan Development Finance Institution (JPM DFI), which is focused on scaling up financing for developing countries.",,,,
"In consultation with leading development institutions, JPM DFI has created a methodology intended to identify and qualify business activities and opportunities that generate both financial and developmental returns.",,,,
Our CIB business has established an ESG Solutions group to advise our clients on a variety of ESG and climate-related topics.,,,,
"By bringing together specialists in sustainability and financial markets, this group will serve as a center of expertise to help our clients navigate the energy transition and respond to increased interest in ESG investing.",,,,
"The group will also lead the development of our sustainable product offerings, enabling our clients to improve their sustainability credentials and access ESG-focused capital.",,,,
"In addition, we have assembled a new Energy Transition Team to provide strategic and financial advice to corporate clients on mergers and acquisitions that support carbon optimization objectives.",,,,
"Finally, we have also established a Client Engagement team focused on driving high-impact conversations on corporate responsibility and ESG-related topics with clients across our lines of business.",,,,
"JPMORGAN CHASE & CO. Environmental Social & Governance Report 30INVESTING IN OUR EMPLOYEESPROMOTING SOUND GOVERNANCESERVING OUR CUSTOMERSSUPPORTING OUR COMMUNITIES INTRODUCTION ADVANCINGSUSTAINABILITYManaging Risk Assessing our clients’ approach to, and performance on, environmental and social matters is an important component of the firm’s risk management process.",,,,
It helps us make more informed decisions and safeguards our reputation.,,,,
"It also enables us to offer our clients information and guidance on best practices when they are seeking to access capital markets, provide disclosures or improve sustainability practices.",,,,
"The firm’s publicly available Environmental and Social Policy Framework (Framework) provides an overview of our approach to evaluating risks posed by environmental and social matters, including certain activities that we will not finance, and sectors and activities subject to environmental and social due diligence.",,,,
"In 2020, we updated our Framework to expand restrictions on financing for coal mining and coal-fired power and to prohibit project financing for new oil and gas development in the Arctic.",,,,
Our due diligence efforts are led by a dedicated environmental and social risk management group.,,,,
"In 2019, approximately 2,100 transactions were referred to this team for review because a potential environmental or social risk was identified.",,,,
"These included loans, debt underwriting, equity underwriting and advisory services.",,,,
Detailed due diligence was undertaken on roughly one-third of the referred transactions.,,,,
"JPMorgan Chase participates in or has adopted various internationally recognized principles that help guide our efforts on environmental and social risk management, including the Equator Principles.",,,,
Further information about our implementation of the Equator Principles and other principles is available in our Framework .,,,,
"Expanding Our Focus on Climate Change In 2019, we published our first climate report that was guided by recommendations of the TCFD.",,,,
Our firm has served as a member of TCFD since it was established.,,,,
Our report discusses our approach toward managing climate-related risks and how we are capitalizing on the opportunities that arise through a transition to a lower-carbon economy.,,,,
"Since our report was published, we have taken a number of steps to integrate climate factors into our firmwide processes for identifying, assessing and managing risks.",,,,
For example: ~We created a dedicated risk team focused on climate.,,,,
"~We integrated climate-related risks into the processes the firm uses to identify, assess and review the most material risks to our business.~We are evaluating stress testing approaches to deepen our understanding of the relationship between climate change and financial impact to our firm.",,,,
"~We continue to engage on policy through industry forums, such as the Climate Financial Risk Forum—established by the Financial Conduct Authority (FCA) and the Prudential Regulatory Authority (PRA) of the Bank of England—as a member of the Scenario Analysis working group.",,,,
"Policy Engagement Addressing complex global challenges, including climate change, requires collaboration and collective action.",,,,
We participate in a variety of initiatives focused on advancing sustainability within our industry and across the corporate sector broadly.,,,,
"As part of this, we share our expertise on issues at the nexus of finance and sustainability, and learn from other companies and organizations.",,,,
"In early 2020, for example, JPMorgan Chase joined the Climate Leadership Council (CLC), a think tank that is promoting a bipartisan roadmap for a revenue-neutral carbon tax and dividend framework for the U.S. Institutions like JPMorgan Chase play an important role financing the energy transition necessary to address climate change, and we believe the CLC’s roadmap is a step toward advancing a bipartisan conversation about concrete policy solutions.",,,,
Transparency and Reporting JPMorgan Chase is committed to providing stakeholders with information about our approach to and performance on ESG topics.,,,,
"This annual ESG Report, which summarizes our work on key issues, is one of the primary ways we do that.",,,,
"For the first time, this ESG Report is informed by SASB and includes a separate index, available on our website , which maps our firm’s disclosures against the SASB indicators relevant to the sectors in which our firm operates.",,,,
Our ESG Report also continues to be informed by GRI.,,,,
"JPMORGAN CHASE & CO. Environmental Social & Governance Report 31INVESTING IN OUR EMPLOYEESPROMOTING SOUND GOVERNANCESERVING OUR CUSTOMERSSUPPORTING OUR COMMUNITIES INTRODUCTION ADVANCINGSUSTAINABILITYStrengthening Community Resilience to Climate Change Around the world, communities are struggling to manage the impacts of natural disasters, such as severe weather and wildfires, many of which could be exacerbated by climate change.",,,,
These events are expected to grow over time—and to disproportionately impact the most vulnerable populations.,,,,
"While our firm has a robust operational resilience program and a long track record of supporting customers and communities after disaster strikes, we are taking an increasingly coordinated approach to helping communities prepare to withstand these threats.",,,,
"In 2019, we launched community resilience pilots in South Florida and Northern California.",,,,
"Informed by community input about the main challenges in responding to disasters, our firm committed nearly $3 million in philanthropic capital to help these communities develop new informational tools, models of engagement and research that will help prepare them to be more resilient in the face of the next disaster.",,,,
"Going forward, we are applying insights from these pilots to enhance our support.",,,,
"This includes working to expand our efforts to more communities that are vulnerable, as well as better aligning our community resilience strategy with immediate disaster relief efforts.",,,,
Operational Sustainability Minimizing the environmental impact of our physical operations continues to be an important part of our global sustainability strategy.,,,,
It also helps us to reduce costs and strengthen the firm’s resilience.,,,,
"Given the nature of our business, our direct environmental impacts stem primarily from the operation of more than 5,400 corporate buildings, retail bank branches and data centers, including the electricity needed to power those sites.",,,,
Increasing Renewable Energy Increasing our support for renewable energy is a core part of our operational sustainability strategy.,,,,
"In addition to reducing energy consumption by implementing energy-efficient lighting and other technologies, we are undertaking a range of actions, including: ~Installing on-site renewable energy at retail branches and commer cial buildings; ~Executing Power Purchase Agreements (PPAs) and green pow er supply contracts to support the development of new renewable energy projects on grids from which we purchase energy; and ~Purchasing Renewable Energy Certificates (RECs) to green our elec tricit y supply.We will meet our 100% renewable energy commitment in 2020 by generating and purchasing energy and corresponding RECs in an amount equivalent to the total megawatt (MW) hours of electricity that JPMorgan Chase consumes globally over the year.",,,,
The RECs we purchase will be sourced in accordance with RE100—an initiative of The Climate Group and CDP to accelerate the world’s transition to renewables—of which JPMorgan Chase is a member.,,,,
"Over time, our goal is to meet our commitment on an annual basis in a way that maximizes impact by bringing more renewable energy onto the grid.",,,,
"JPMORGAN CHASE & CO. Environmental Social & Governance Report 32INVESTING IN OUR EMPLOYEESPROMOTING SOUND GOVERNANCESERVING OUR CUSTOMERSSUPPORTING OUR COMMUNITIES INTRODUCTION ADVANCINGSUSTAINABILITYHighlights of our progress in 2019 include: ~Completing LED lighting retrofits at 4,300 branches and 50 commercial offices, which will result in up to 50% reduction in lighting energy consumption for each building; ~Installing energy-efficient building management systems at 2,600 branches; ~Purchasing the equivalent of more than 10% of our global annual electricity consumption from a 100.5 MW wind farm in Texas and over 15% of the electricity we consume annually in India through a solar PPA in Bangalore; ~Completing on-site solar installations at commercial offices, including the construction of a 3.6 MW rooftop and carport system in Arizona and a 2.8 MW rooftop system at our Polaris campus in Ohio, which is one of the world’s largest commercial installations of bifacial solar modules; and ~Constructing rooftop solar systems at approximately 200 branches in Arizona, Michigan and Nevada, which are on track to be completed in 2020.",,,,
"Offsetting Emissions from Employee Travel In 2019, we offset 100% of the greenhouse gas (GHG) emissions from employee air and rail travel.3 We achieved this by purchasing 189,327 Verified Emission Reduction (VER) credits from forest management projects in the U.S., such as Hawk Mountain Sanctuary in Pennsylvania.",,,,
"This project is part of Working Woodlands, a program designed by Bluesource and The Nature Conservancy to protect and sustainably manage forested lands for the benefit of the environment and local communities.",,,,
"In addition to sequestering an estimated 47,000 tonnes of carbon dioxide equivalent (tCO2e) each year, Hawk Mountain Sanctuary includes 2,500 protected acres and provides habitat for more than 16 species of large birds of prey, including bald eagles, peregrine falcons and ospreys.",,,,
"3Includes client air and rail travel paid for by JPMorgan Chase.Key Memberships and Commitments JPMorgan Chase participates in, is a member of or has committed to various initiatives and principles that address business and sustainability matters, including: ~Asian Corporate Governance Association (ACGA) ~Business and Sustainable Development Commission ~CDP (Investor Signatory) ~Center for Climate and Energy Solutions (C2ES) Business Environmental Leadership Council ~Ceres ~Climate Action 100+ ~Climate Leadership Council ~Corporate Eco Forum ~Equator Principles ~Extractives Industry Transparency Initiative ~Global Impact Investing Network ~Global Real Estate Sustainability Benchmark (GRESB) ~Green Bond Principles ~Institutional Investors Group on Climate Change ~RE100 ~Soft Commodities Compact ~U.N.",,,,
Principles for Responsible Investment ~World Green Building Council Additional Online Resources ~Annual Report ~Asset Management—Sustainable Investing ~COVID-19 Response ~Environmental and Social Policy Framework ~Equator Principles Report ~J.P.,,,,
"Morgan Development Finance Institution ~Sustainabilit y ~Sustainability Announcement Press Release ~TCFD Climate Report ~Wealth Management—Sustainable Investing For additional information, please visit www.jpmorganchase.com/ESG.",,,,
"JPMORGAN CHASE & CO. Environmental Social & Governance Report 33INVESTING IN OUR EMPLOYEESPROMOTING SOUND GOVERNANCESERVING OUR CUSTOMERSSUPPORTING OUR COMMUNITIES INTRODUCTION ADVANCINGSUSTAINABILITYEnvironmental Data 2019 2018 2017 Employee headcount 256,981 256,105 252,539 Square footagea 57,205,977 57,584,466 58,140,356 Greenhouse Gas (GHG) EmissionsbUNIT 2019 2018 2017 Scope 1 emissionscMtCO 2e 81,655 83,101 78,229 Scope 2 emissions—Location-based MtCO 2e 692,299 739,458 770,704 Scope 2 emissions—Market-based MtCO 2e 556,142 572,067 596,843 Total Scope 1 and Scope 2—Market-based MtCO 2e 637,798 655,167 675,073 Reduction over 2005 baselined% 54 53 52 GHG Emissions per sq.",,,,
ft. MtCO 2e/sq.,,,,
"ft. 0.01115 0.01138 0.01161 Scope 3 emissions from employee air and rail traveleMtCO 2e 181,004 176,356 187,020 Verified Emission Reduction (VER) credits purchased MtCO 2e 189,327 184,769 175,155 Renewable Power UNIT 2019 2018 2017 Electricity production (on-site solar and fuel cells) MWh 7,743 13,290 6,472 Contractual instrumentsfMWh 380,901 375,280 370,801 Proportion of power use from renewable sources (production and instruments)% 22 22 21 Energy Consumption UNIT 2019 2018 2017 Electricity MWh 1,759,170 1,787,344 1,823,121 Steam MWh 25,071 36,911 30,423 Chilled water (indirect emissions) MWh 246 232 222 Natural gas MWh 254,794 256,623 224,119 Propane MWh 1,314 1,281 1,081 Fuel oil MWh 9,849 13,248 12,283 Jet fuel MWh 31,833 32,172 33,447 Total MWh 2,082,277 2,127,812 2,124,697 Reduction over 2005 baseline (net) % 34 33 31 Water Consumption UNIT 2019 2018 2017 U.S. operationsbm35,091,865 5,731,976 5,611,797 a JPMorgan Chase utilizes an operational control approach to establish boundaries for our GHG inventory.",,,,
This includes owned and leased facilities for which we control the energy usage and pa y the energy/utility bills directly to the respective utility.,,,,
"b Sc ope 1, 2 and 3 emissions were verified for 2016, 2017, 2018 and 2019.",,,,
Water consumption in 2018 and 2019 has been verified.,,,,
c Scope 1 emissions include emissions fr om corporate air travel.,,,,
d Emission r eduction calculations over the 2005 baseline use the market-based method.,,,,
e Includes clien t air and rail travel paid for by JPMorgan Chase.,,,,
